GEOID,DIST
121079514013061,5
121079514011028,5
121079506003005,4
121079502022103,1
121079505002068,2
121079505002056,2
121079514011063,5
121079512002003,5
121079504002013,2
121079509001039,4
121079509003017,4
121079502011068,1
121079512001053,3
121079512003080,3
121079506003041,4
121079503003069,2
121079505002023,2
121079504002001,2
121079505001070,5
121079505002093,2
121079502013039,1
121079504002025,2
121079503001070,2
121079505002033,2
121079507002056,4
121079504001002,2
121079503001222,2
121079506002030,1
121079512002014,5
121079512005031,5
121079513001053,5
121079505003002,2
121079510001048,3
121079505004014,2
121079508004008,4
121079514013018,5
121079514013001,5
121079503001037,2
121079503002015,2
121079503003153,2
121079513001072,5
121079505002072,2
121079503004049,2
121079502013168,1
121079502013158,1
121079508004024,4
121079514023015,5
121079503003072,2
121079502013193,1
121079512003069,3
121079514022010,5
121079502013132,1
121079502022123,1
121079512004075,3
121079514012005,5
121079506002010,4
121079512001041,3
121079509005011,4
121079502022063,1
121079508004036,4
121079502012092,1
121079502013287,1
121079510003020,3
121079503001145,2
121079502022057,1
121079513001004,5
121079507002012,4
121079505001078,5
121079513001064,5
121079514022036,5
121079502021031,1
121079509001033,4
121079506003043,4
121079502022056,1
121079503001195,2
121079507004011,4
121079502022077,1
121079510002004,1
121079502012014,1
121079502014028,2
121079502014020,2
121079502012108,1
121079503004014,2
