GEOID,DIST
010730144152009,3
010730129073032,5
010730144061001,4
011170302111028,2
011170303501031,1
011170303471007,2
010730129182009,6
010730142093028,3
010730143041017,3
011170303462055,2
010730144062008,4
010730129081007,5
010730144081014,6
010730144142009,1
010730144141016,1
010730144091000,5
010730142082003,1
010730144052019,4
010730144122011,4
010730143034038,3
011170302203008,2
011170302204010,2
011170303523024,0
011170303462060,2
011170303462035,0
011170303501035,1
011170303522026,0
011170303512027,1
010730142082004,1
010730129072017,6
010730144053019,4
010730144053016,4
010730144061010,4
011170303042042,0
011170303044028,2
011170303521007,1
011170303142029,0
010730144142018,3
010730127041017,2
010730144141010,5
010730143034068,3
010730129073014,5
010730129083002,5
010730144061028,4
010730143034014,3
010730144151015,3
010730129084008,5
010730144103017,1
011170303142018,0
010730144102015,1
010730144143012,5
010730142081003,1
011170303512005,1
011170303142025,0
011170303502113,1
010730143031030,3
011170303303006,2
011170303043023,0
011170303522025,0
011170303303013,2
011170303041028,0
011170303502066,1
011170303141004,0
011170302161019,2
011170302162001,2
011170303523026,0
010730129101069,2
010730144052006,4
010730144143002,4
010730144053003,4
010730144052005,4
010730144122001,4
010730142093025,3
010730143032010,3
011170302203001,2
010730144143015,5
011170303051006,0
011170303042035,0
010730144152019,3
010730129131007,6
010730144152011,3
010730129084006,5
010730144091006,5
010730144062018,4
011170303501017,1
011170303523041,0
010730142093010,3
011170302211025,2
011170303042049,2
011170303523029,0
010730142083000,1
011170303462058,2
011170302201004,2
011170302202040,2
011170303523030,0
011170302211013,2
011170303524011,0
011170303462045,2
011170303151001,0
011170303512015,1
011170303502016,1
011170303511007,1
011170303522039,0
010730129181003,6
010730144083019,6
011170303151005,0
011170303142022,0
011170303512036,1
011170303044006,0
011170303502014,1
010730143032021,3
010730144143024,5
010730142082008,1
010730143034016,3
010730142084001,1
010730129081003,5
010730129072012,0
011170303042020,0
010730144051004,4
011170303041010,0
011170303044042,0
011170303041036,0
011170303472010,2
011170303473015,2
011170303501007,1
010730144061046,4
010730129072013,0
010730129133004,6
010730144091021,5
010730143034001,3
010730129071007,0
011170303044025,0
011170302201000,2
011170303471025,2
011170303522023,0
011170302211008,2
010730144143013,5
010730144102006,6
010730144082012,6
010730144082010,6
010730144141001,5
010730129071012,0
010730143034023,3
010730143034019,3
010730144092025,5
010730144103006,1
010730144143027,5
011170303471022,2
011170302201012,2
010730142084019,1
011170303523008,0
011170302204005,2
011170303462030,2
011170303523023,0
011170303044022,0
011170303502051,1
011170302203004,2
011170303461002,2
011170302163000,2
010730129081010,5
010730129074001,0
011170303141000,0
010730143032023,3
010730144091011,5
010730144083004,6
010730143034069,3
010730144092026,5
010730129132001,6
010730144092011,5
010730129101071,2
010730144041066,4
010730144092023,5
