GEOID20,DIST
281210205002007,3
281210210052065,0
281210210011021,0
281210210042006,0
281210210051017,0
281210204023023,0
281210202121000,1
281210209011057,4
281210202082003,2
281210208052001,2
281210204012018,0
281210202085011,2
281210201051017,4
281210209021021,4
281210209011076,4
281210210032018,0
281210202121003,1
281210202193007,2
281210208032037,4
281210209011027,4
281210202152029,1
281210208031034,4
281210209011040,4
281210209022020,4
281210208052014,3
281210209022025,4
281210202192020,2
281210202081005,2
281210202084004,2
281210203041085,3
281210208012021,4
281210208012016,4
281210208041008,3
281210201051047,4
281210203043007,3
281210210043007,0
281210210051035,4
281210210034004,0
281210202094000,1
281210201031020,2
281210202131008,2
281210201051106,4
281210209011085,4
281210202193003,3
281210203041055,3
281210201032017,2
281210202161018,3
281210202171000,3
281210202102015,1
281210208031045,4
281210209023026,4
281210203042013,3
281210201013026,1
281210209023006,4
281210201051098,4
281210208032019,4
281210201032003,2
281210201013015,4
281210201032006,2
281210202101009,1
281210201041014,2
281210210032004,0
281210208061001,4
281210208061035,4
281210209021053,4
281210202086015,2
281210208043018,3
281210202161007,3
281210202102009,1
281210201011019,4
281219800001014,3
281210201051029,4
281210208052036,3
281210210043008,0
281210202193015,3
281210202141003,3
281210204021031,0
281210209011042,4
281210210042000,0
281210210034000,0
281210204012027,0
281210202121011,1
281210204024016,0
281210208062024,4
281210203041030,3
281210208043014,3
281210202191000,2
281210210031007,0
281210202101002,1
281210203043025,1
281210203041058,3
281210210034029,0
281210209011016,4
281210208031035,4
281210209011068,4
281210209023007,4
281210210031010,0
281210201011059,4
281210208011013,4
281210201011026,4
281210210042027,0
281210208032017,4
281210201012014,4
281210201011021,4
281210208031014,4
281210208031021,4
281210208061000,4
281210204023008,0
281210204021032,0
281210209012026,4
281210201051075,4
281210202181004,2
281210204022018,0
281210204011004,0
281210201051082,4
281210208044011,4
281210203041002,3
281210202102007,1
281210206012010,3
281210201051080,4
281210204013013,0
281210202103000,1
281210201042009,2
281210210033006,0
281210202121036,3
281210203041082,3
281210201032016,2
281210202152037,3
281210203041080,3
